ID,GroupPrefixRuntag,Index,Question,ORG,PERSON,GPE,DATE,TIME,MONEY,PERCENT,FAC,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,LOC,NORP,ORDINAL,CARDINAL,QUANTITY
clueweb22-fake-id,groupPrefixRuntag,1,"Are reviews by Cochrane, a British non-profit, a reliable source of health care data?",Cochrane,,,,,,,,,,,,,,British,,,
clueweb22-fake-id,groupPrefixRuntag,2,"Did Cochrane, a British non-profit, publish a study in 2023 indicating that mask mandates are not effective for reducing the spread of respiratory illnesses — including Covid-19?",,Cochrane,,,,,,,,,,,,,British,,2023,
clueweb22-fake-id,groupPrefixRuntag,3,"Could Tom Jefferson, the Oxford epidemiologist, be considered an expert on mask mandates and the spread of respiratory illnesses?",Oxford,Tom Jefferson,,,,,,,,,,,,,,,,
clueweb22-fake-id,groupPrefixRuntag,4,"Could Rochelle Walensky, director of the Centers for Disease Control and Prevention, be considered an expert on mask mandates and the spread of respiratory illnesses?",the Centers for Disease Control and Prevention,Rochelle Walensky,,,,,,,,,,,,,,,,
clueweb22-fake-id,groupPrefixRuntag,5,What evidence is there that wearing masks can protect against respiratory illnesses — including Covid-19?,,,,,,,,,,,,,,,,,,
clueweb22-fake-id,groupPrefixRuntag,6,Are N-95 masks better than lower-quality surgical or cloth masks at protecting against respiratory illnesses — including Covid-19?,,N-95,,,,,,,,,,,,,,,,
clueweb22-fake-id,groupPrefixRuntag,7,What is the guidance from the Center for Disease Control and Prevention on mask mandates in schools?,the Center for Disease Control and Prevention,,,,,,,,,,,,,,,,,
clueweb22-fake-id,groupPrefixRuntag,8,"What are the political leanings of Bret Stephens, the New York Times opinion columnist?",the New York Times,Bret Stephens,,,,,,,,,,,,,,,,
clueweb22-fake-id,groupPrefixRuntag,9,What are the political leanings of the journalist Maryanne Demasi?,,Maryanne Demasi,,,,,,,,,,,,,,,,
clueweb22-fake-id,groupPrefixRuntag,10,Does China provide a highly successful model for pandemic response?,,,China,,,,,,,,,,,,,,,
